# alias table
# from;to
# the 'from' sequence should be represented by the image for the 'to' sequence
# 'fe0f' is not in these sequences
1f482_1f3ff;1f482_1f3ff_200d_2642 # dark skin tone
1f486;1f486_200d_2640 # FACE MASSAGE -> woman getting massage
1f486_1f3fb;1f486_1f3fb_200d_2640 # light skin tone
1f486_1f3fc;1f486_1f3fc_200d_2640 # medium-light skin tone
1f486_1f3fd;1f486_1f3fd_200d_2640 # medium skin tone
1f486_1f3fe;1f486_1f3fe_200d_2640 # medium-dark skin tone
1f486_1f3ff;1f486_1f3ff_200d_2640 # dark skin tone
1f487;1f487_200d_2640 # HAIRCUT -> woman getting haircut
1f487_1f3fb;1f487_1f3fb_200d_2640 # light skin tone
1f487_1f3fc;1f487_1f3fc_200d_2640 # medium-light skin tone
1f487_1f3fd;1f487_1f3fd_200d_2640 # medium skin tone
1f487_1f3fe;1f487_1f3fe_200d_2640 # medium-dark skin tone
1f487_1f3ff;1f487_1f3ff_200d_2640 # dark skin tone
1f48f;1f469_200d_2764_200d_1f48b_200d_1f468 # KISS -> kiss: woman, man
1f491;1f469_200d_2764_200d_1f468 # COUPLE WITH HEART -> couple with heart: woman, man
1f575;1f575_200d_2642 # SLEUTH OR SPY -> man detective
1f575_1f3fb;1f575_1f3fb_200d_2642 # light skin tone
1f575_1f3fc;1f575_1f3fc_200d_2642 # medium-light skin tone
1f575_1f3fd;1f575_1f3fd_200d_2642 # medium skin tone
1f575_1f3fe;1f575_1f3fe_200d_2642 # medium-dark skin tone
1f575_1f3ff;1f575_1f3ff_200d_2642 # dark skin tone
1f645;1f645_200d_2640 # FACE WITH NO GOOD GESTURE -> woman gesturing NO
1f645_1f3fb;1f645_1f3fb_200d_2640 # light skin tone
1f645_1f3fc;1f645_1f3fc_200d_2640 # medium-light skin tone
1f645_1f3fd;1f645_1f3fd_200d_2640 # medium skin tone
1f645_1f3fe;1f645_1f3fe_200d_2640 # medium-dark skin tone
1f645_1f3ff;1f645_1f3ff_200d_2640 # dark skin tone
1f646;1f646_200d_2640 # FACE WITH OK GESTURE -> woman gesturing OK
1f646_1f3fb;1f646_1f3fb_200d_2640 # light skin tone
1f646_1f3fc;1f646_1f3fc_200d_2640 # medium-light skin tone
1f646_1f3fd;1f646_1f3fd_200d_2640 # medium skin tone
1f646_1f3fe;1f646_1f3fe_200d_2640 # medium-dark skin tone
1f646_1f3ff;1f646_1f3ff_200d_2640 # dark skin tone
1f647;1f647_200d_2642 # PERSON BOWING DEEPLY -> man bowing
1f647_1f3fb;1f647_1f3fb_200d_2642 # light skin tone
1f647_1f3fc;1f647_1f3fc_200d_2642 # medium-light skin tone
1f647_1f3fd;1f647_1f3fd_200d_2642 # medium skin tone
1f647_1f3fe;1f647_1f3fe_200d_2642 # medium-dark skin tone
1f647_1f3ff;1f647_1f3ff_200d_2642 # dark skin tone
1f64b;1f64b_200d_2640 # HAPPY PERSON RAISING ONE HAND -> woman raising hand
1f64b_1f3fb;1f64b_1f3fb_200d_2640 # light skin tone
1f64b_1f3fc;1f64b_1f3fc_200d_2640 # medium-light skin tone
1f64b_1f3fd;1f64b_1f3fd_200d_2640 # medium skin tone
1f64b_1f3fe;1f64b_1f3fe_200d_2640 # medium-dark skin tone
1f64b_1f3ff;1f64b_1f3ff_200d_2640 # dark skin tone
1f64d;1f64d_200d_2640 # PERSON FROWNING -> woman frowning
1f64d_1f3fb;1f64d_1f3fb_200d_2640 # light skin tone
1f64d_1f3fc;1f64d_1f3fc_200d_2640 # medium-light skin tone
1f64d_1f3fd;1f64d_1f3fd_200d_2640 # medium skin tone
1f64d_1f3fe;1f64d_1f3fe_200d_2640 # medium-dark skin tone
1f64d_1f3ff;1f64d_1f3ff_200d_2640 # dark skin tone
1f64e;1f64e_200d_2640 # PERSON WITH POUTING FACE -> woman pouting
1f64e_1f3fb;1f64e_1f3fb_200d_2640 # light skin tone
1f64e_1f3fc;1f64e_1f3fc_200d_2640 # medium-light skin tone
1f64e_1f3fd;1f64e_1f3fd_200d_2640 # medium skin tone
1f64e_1f3fe;1f64e_1f3fe_200d_2640 # medium-dark skin tone
1f64e_1f3ff;1f64e_1f3ff_200d_2640 # dark skin tone
1f6a3;1f6a3_200d_2642 # ROWBOAT -> man rowing boat
1f6a3_1f3fb;1f6a3_1f3fb_200d_2642 # light skin tone
1f6a3_1f3fc;1f6a3_1f3fc_200d_2642 # medium-light skin tone
1f6a3_1f3fd;1f6a3_1f3fd_200d_2642 # medium skin tone
1f6a3_1f3fe;1f6a3_1f3fe_200d_2642 # medium-dark skin tone
1f6a3_1f3ff;1f6a3_1f3ff_200d_2642 # dark skin tone
1f6b4;1f6b4_200d_2642 # BICYCLIST -> man biking
1f6b4_1f3fb;1f6b4_1f3fb_200d_2642 # light skin tone
1f6b4_1f3fc;1f6b4_1f3fc_200d_2642 # medium-light skin tone
1f6b4_1f3fd;1f6b4_1f3fd_200d_2642 # medium skin tone
1f6b4_1f3fe;1f6b4_1f3fe_200d_2642 # medium-dark skin tone
1f6b4_1f3ff;1f6b4_1f3ff_200d_2642 # dark skin tone
1f6b5;1f6b5_200d_2642 # MOUNTAIN BICYCLIST -> man mountain biking
1f6b5_1f3fb;1f6b5_1f3fb_200d_2642 # light skin tone
1f6b5_1f3fc;1f6b5_1f3fc_200d_2642 # medium-light skin tone
1f6b5_1f3fd;1f6b5_1f3fd_200d_2642 # medium skin tone
1f6b5_1f3fe;1f6b5_1f3fe_200d_2642 # medium-dark skin tone
1f6b5_1f3ff;1f6b5_1f3ff_200d_2642 # dark skin tone
1f6b6;1f6b6_200d_2642 # PEDESTRIAN -> man walking
1f6b6_1f3fb;1f6b6_1f3fb_200d_2642 # light skin tone
1f6b6_1f3fc;1f6b6_1f3fc_200d_2642 # medium-light skin tone
1f6b6_1f3fd;1f6b6_1f3fd_200d_2642 # medium skin tone
1f6b6_1f3fe;1f6b6_1f3fe_200d_2642 # medium-dark skin tone
1f6b6_1f3ff;1f6b6_1f3ff_200d_2642 # dark skin tone
1f926;1f926_200d_2640 # FACE PALM -> woman facepalming
1f926_1f3fb;1f926_1f3fb_200d_2640 # light skin tone
1f926_1f3fc;1f926_1f3fc_200d_2640 # medium-light skin tone
1f926_1f3fd;1f926_1f3fd_200d_2640 # medium skin tone
1f926_1f3fe;1f926_1f3fe_200d_2640 # medium-dark skin tone
1f926_1f3ff;1f926_1f3ff_200d_2640 # dark skin tone
1f937;1f937_200d_2640 # SHRUG -> woman shrugging
1f937_1f3fb;1f937_1f3fb_200d_2640 # light skin tone
1f937_1f3fc;1f937_1f3fc_200d_2640 # medium-light skin tone
1f937_1f3fd;1f937_1f3fd_200d_2640 # medium skin tone
1f937_1f3fe;1f937_1f3fe_200d_2640 # medium-dark skin tone
1f937_1f3ff;1f937_1f3ff_200d_2640 # dark skin tone
1f938;1f938_200d_2642 # PERSON DOING CARTWHEEL -> man cartwheeling
1f938_1f3fb;1f938_1f3fb_200d_2642 # light skin tone
1f938_1f3fc;1f938_1f3fc_200d_2642 # medium-light skin tone
1f938_1f3fd;1f938_1f3fd_200d_2642 # medium skin tone
1f938_1f3fe;1f938_1f3fe_200d_2642 # medium-dark skin tone
1f938_1f3ff;1f938_1f3ff_200d_2642 # dark skin tone
1f939;1f939_200d_2642 # JUGGLING -> man juggling
1f939_1f3fb;1f939_1f3fb_200d_2642 # light skin tone
1f939_1f3fc;1f939_1f3fc_200d_2642 # medium-light skin tone
1f939_1f3fd;1f939_1f3fd_200d_2642 # medium skin tone
1f939_1f3fe;1f939_1f3fe_200d_2642 # medium-dark skin tone
1f939_1f3ff;1f939_1f3ff_200d_2642 # dark skin tone
1f93c;1f93c_200d_2642 # WRESTLERS -> men wrestling
1f93d;1f93d_200d_2642 # WATER POLO -> man playing water polo
1f93d_1f3fb;1f93d_1f3fb_200d_2642 # light skin tone
1f93d_1f3fc;1f93d_1f3fc_200d_2642 # medium-light skin tone
1f93d_1f3fd;1f93d_1f3fd_200d_2642 # medium skin tone
1f93d_1f3fe;1f93d_1f3fe_200d_2642 # medium-dark skin tone
1f93d_1f3ff;1f93d_1f3ff_200d_2642 # dark skin tone
1f93e;1f93e_200d_2642 # HANDBALL -> man playing handball
1f93e_1f3fb;1f93e_1f3fb_200d_2642 # light skin tone
1f93e_1f3fc;1f93e_1f3fc_200d_2642 # medium-light skin tone
1f93e_1f3fd;1f93e_1f3fd_200d_2642 # medium skin tone
1f93e_1f3fe;1f93e_1f3fe_200d_2642 # medium-dark skin tone
1f93e_1f3ff;1f93e_1f3ff_200d_2642 # dark skin tone
26f9;26f9_200d_2642 # PERSON WITH BALL -> man bouncing ball
26f9_1f3fb;26f9_1f3fb_200d_2642 # light skin tone
26f9_1f3fc;26f9_1f3fc_200d_2642 # medium-light skin tone
26f9_1f3fd;26f9_1f3fd_200d_2642 # medium skin tone
26f9_1f3fe;26f9_1f3fe_200d_2642 # medium-dark skin tone
26f9_1f3ff;26f9_1f3ff_200d_2642 # dark skin tone
fe82b;unknown_flag # no name -> no name

# flag aliases
1f1e7_1f1fb;1f1f3_1f1f4 # BV -> NO
1f1e8_1f1f5;1f1eb_1f1f7 # CP -> FR
1f1ed_1f1f2;1f1e6_1f1fa # HM -> AU
1f1f8_1f1ef;1f1f3_1f1f4 # SJ -> NO
1f1fa_1f1f2;1f1fa_1f1f8 # UM -> US

# additional emoji 5.0 aliases
1f9d6;1f9d6_200d_2640 # PERSON IN STEAMY ROOM -> woman in steamy room
1f9d6_1f3fb;1f9d6_1f3fb_200d_2640 # light skin tone
1f9d6_1f3fc;1f9d6_1f3fc_200d_2640 # medium-light skin tone
1f9d6_1f3fd;1f9d6_1f3fd_200d_2640 # medium skin tone
1f9d6_1f3fe;1f9d6_1f3fe_200d_2640 # medium-dark skin tone
1f9d6_1f3ff;1f9d6_1f3ff_200d_2640 # dark skin tone
1f9d7;1f9d7_200d_2640 # PERSON CLIMBING -> woman climbing
1f9d7_1f3fb;1f9d7_1f3fb_200d_2640 # light skin tone
1f9d7_1f3fc;1f9d7_1f3fc_200d_2640 # medium-light skin tone
1f9d7_1f3fd;1f9d7_1f3fd_200d_2640 # medium skin tone
1f9d7_1f3fe;1f9d7_1f3fe_200d_2640 # medium-dark skin tone
1f9d7_1f3ff;1f9d7_1f3ff_200d_2640 # dark skin tone
1f9d8;1f9d8_200d_2640 # PERSON IN LOTUS POSITION -> woman in lotus position
1f9d8_1f3fb;1f9d8_1f3fb_200d_2640 # light skin tone
1f9d8_1f3fc;1f9d8_1f3fc_200d_2640 # medium-light skin tone
1f9d8_1f3fd;1f9d8_1f3fd_200d_2640 # medium skin tone
1f9d8_1f3fe;1f9d8_1f3fe_200d_2640 # medium-dark skin tone
1f9d8_1f3ff;1f9d8_1f3ff_200d_2640 # dark skin tone
1f9d9;1f9d9_200d_2640 # MAGE -> female mage
1f9d9_1f3fb;1f9d9_1f3fb_200d_2640 # light skin tone
1f9d9_1f3fc;1f9d9_1f3fc_200d_2640 # medium-light skin tone
1f9d9_1f3fd;1f9d9_1f3fd_200d_2640 # medium skin tone
1f9d9_1f3fe;1f9d9_1f3fe_200d_2640 # medium-dark skin tone
1f9d9_1f3ff;1f9d9_1f3ff_200d_2640 # dark skin tone
1f9da;1f9da_200d_2640 # FAIRY -> female fairy
1f9da_1f3fb;1f9da_1f3fb_200d_2640 # light skin tone
1f9da_1f3fc;1f9da_1f3fc_200d_2640 # medium-light skin tone
1f9da_1f3fd;1f9da_1f3fd_200d_2640 # medium skin tone
1f9da_1f3fe;1f9da_1f3fe_200d_2640 # medium-dark skin tone
1f9da_1f3ff;1f9da_1f3ff_200d_2640 # dark skin tone
1f9db;1f9db_200d_2640 # VAMPIRE -> female vampire
1f9db_1f3fb;1f9db_1f3fb_200d_2640 # light skin tone
1f9db_1f3fc;1f9db_1f3fc_200d_2640 # medium-light skin tone
1f9db_1f3fd;1f9db_1f3fd_200d_2640 # medium skin tone
1f9db_1f3fe;1f9db_1f3fe_200d_2640 # medium-dark skin tone
1f9db_1f3ff;1f9db_1f3ff_200d_2640 # dark skin tone
1f9dc;1f9dc_200d_2640 # MERPERSON -> mermaid
1f9dc_1f3fb;1f9dc_1f3fb_200d_2640 # light skin tone
1f9dc_1f3fc;1f9dc_1f3fc_200d_2640 # medium-light skin tone
1f9dc_1f3fd;1f9dc_1f3fd_200d_2640 # medium skin tone
1f9dc_1f3fe;1f9dc_1f3fe_200d_2640 # medium-dark skin tone
1f9dc_1f3ff;1f9dc_1f3ff_200d_2640 # dark skin tone
1f9dd;1f9dd_200d_2640 # ELF -> female elf
1f9dd_1f3fb;1f9dd_1f3fb_200d_2640 # light skin tone
1f9dd_1f3fc;1f9dd_1f3fc_200d_2640 # medium-light skin tone
1f9dd_1f3fd;1f9dd_1f3fd_200d_2640 # medium skin tone
1f9dd_1f3fe;1f9dd_1f3fe_200d_2640 # medium-dark skin tone
1f9dd_1f3ff;1f9dd_1f3ff_200d_2640 # dark skin tone
1f9de;1f9de_200d_2640 # GENIE -> female genie
1f9df;1f9df_200d_2640 # ZOMBIE -> female zombie

# legacy android sequences
# wrestlers -> men wrestling
1f93c_1f3fb;1f93c_1f3fb_200d_2642 # light skin tone
1f93c_1f3fc;1f93c_1f3fc_200d_2642 # medium-light skin tone
1f93c_1f3fd;1f93c_1f3fd_200d_2642 # medium skin tone
1f93c_1f3fe;1f93c_1f3fe_200d_2642 # medium-dark skin tone
1f93c_1f3ff;1f93c_1f3ff_200d_2642 # dark skin tone

# Legacy PUA assignments
E210;0023_20E3 # Softbank
EB84;0023_20E3 # KDDIa
ED89;0023_20E3 # KDDIb
E6E0;0023_20E3 # Docomo
FE82C;0023_20E3 # Google
E225;0030_20E3 # Softbank
E5AC;0030_20E3 # KDDIa
F0C9;0030_20E3 # KDDIb
E6EB;0030_20E3 # Docomo
FE837;0030_20E3 # Google
E21C;0031_20E3 # Softbank
E522;0031_20E3 # KDDIa
EFFB;0031_20E3 # KDDIb
E6E2;0031_20E3 # Docomo
FE82E;0031_20E3 # Google
E21D;0032_20E3 # Softbank
E523;0032_20E3 # KDDIa
EFFC;0032_20E3 # KDDIb
E6E3;0032_20E3 # Docomo
FE82F;0032_20E3 # Google
E21E;0033_20E3 # Softbank
E524;0033_20E3 # KDDIa
F040;0033_20E3 # KDDIb
E6E4;0033_20E3 # Docomo
FE830;0033_20E3 # Google
E21F;0034_20E3 # Softbank
E525;0034_20E3 # KDDIa
F041;0034_20E3 # KDDIb
E6E5;0034_20E3 # Docomo
FE831;0034_20E3 # Google
E220;0035_20E3 # Softbank
E526;0035_20E3 # KDDIa
F042;0035_20E3 # KDDIb
E6E6;0035_20E3 # Docomo
FE832;0035_20E3 # Google
E221;0036_20E3 # Softbank
E527;0036_20E3 # KDDIa
F043;0036_20E3 # KDDIb
E6E7;0036_20E3 # Docomo
FE833;0036_20E3 # Google
E222;0037_20E3 # Softbank
E528;0037_20E3 # KDDIa
F044;0037_20E3 # KDDIb
E6E8;0037_20E3 # Docomo
FE834;0037_20E3 # Google
E223;0038_20E3 # Softbank
E529;0038_20E3 # KDDIa
F045;0038_20E3 # KDDIb
E6E9;0038_20E3 # Docomo
FE835;0038_20E3 # Google
E224;0039_20E3 # Softbank
E52A;0039_20E3 # KDDIa
F046;0039_20E3 # KDDIb
E6EA;0039_20E3 # Docomo
FE836;0039_20E3 # Google
E24E;00A9 # Softbank
E558;00A9 # KDDIa
F074;00A9 # KDDIb
E731;00A9 # Docomo
FEB29;00A9 # Google
E24F;00AE # Softbank
E559;00AE # KDDIa
F075;00AE # KDDIb
E736;00AE # Docomo
FEB2D;00AE # Google
E12D;1F004 # Softbank
E5D1;1F004 # KDDIa
EC44;1F004 # KDDIb
FE80B;1F004 # Google
EB6F;1F0CF # KDDIa
ED73;1F0CF # KDDIb
FE812;1F0CF # Google
E532;1F170 # Softbank
EB26;1F170 # KDDIa
ECE7;1F170 # KDDIb
FE50B;1F170 # Google
E533;1F171 # Softbank
EB27;1F171 # KDDIa
ECE8;1F171 # KDDIb
FE50C;1F171 # Google
E535;1F17E # Softbank
EB28;1F17E # KDDIa
ECE9;1F17E # KDDIb
FE50E;1F17E # Google
E14F;1F17F # Softbank
E4A6;1F17F # KDDIa
EF7E;1F17F # KDDIb
E66C;1F17F # Docomo
FE7F6;1F17F # Google
E534;1F18E # Softbank
EB29;1F18E # KDDIa
ECEA;1F18E # KDDIb
FE50D;1F18E # Google
E5AB;1F191 # KDDIa
F0C8;1F191 # KDDIb
E6DB;1F191 # Docomo
FEB84;1F191 # Google
E214;1F192 # Softbank
EA85;1F192 # KDDIa
EC58;1F192 # KDDIb
FEB38;1F192 # Google
E578;1F193 # KDDIa
F095;1F193 # KDDIb
E6D7;1F193 # Docomo
FEB21;1F193 # Google
E229;1F194 # Softbank
EA88;1F194 # KDDIa
EC5B;1F194 # KDDIb
E6D8;1F194 # Docomo
FEB81;1F194 # Google
E212;1F195 # Softbank
E5B5;1F195 # KDDIa
F0E5;1F195 # KDDIb
E6DD;1F195 # Docomo
FEB36;1F195 # Google
E72F;1F196 # Docomo
FEB28;1F196 # Google
E24D;1F197 # Softbank
E5AD;1F197 # KDDIa
F0CA;1F197 # KDDIb
E70B;1F197 # Docomo
FEB27;1F197 # Google
E4E8;1F198 # KDDIa
EFC1;1F198 # KDDIb
FEB4F;1F198 # Google
E213;1F199 # Softbank
E50F;1F199 # KDDIa
EFE8;1F199 # KDDIb
FEB37;1F199 # Google
E12E;1F19A # Softbank
E5D2;1F19A # KDDIa
EC45;1F19A # KDDIb
FEB32;1F19A # Google
E513;1F1E8_1F1F3 # Softbank
EB11;1F1E8_1F1F3 # KDDIa
ECD2;1F1E8_1F1F3 # KDDIb
FE4ED;1F1E8_1F1F3 # Google
E50E;1F1E9_1F1EA # Softbank
EB0E;1F1E9_1F1EA # KDDIa
ECCF;1F1E9_1F1EA # KDDIb
FE4E8;1F1E9_1F1EA # Google
E511;1F1EA_1F1F8 # Softbank
E5D5;1F1EA_1F1F8 # KDDIa
EC48;1F1EA_1F1F8 # KDDIb
FE4EB;1F1EA_1F1F8 # Google
E50D;1F1EB_1F1F7 # Softbank
EAFA;1F1EB_1F1F7 # KDDIa
ECCE;1F1EB_1F1F7 # KDDIb
FE4E7;1F1EB_1F1F7 # Google
E510;1F1EC_1F1E7 # Softbank
EB10;1F1EC_1F1E7 # KDDIa
ECD1;1F1EC_1F1E7 # KDDIb
FE4EA;1F1EC_1F1E7 # Google
E50F;1F1EE_1F1F9 # Softbank
EB0F;1F1EE_1F1F9 # KDDIa
ECD0;1F1EE_1F1F9 # KDDIb
FE4E9;1F1EE_1F1F9 # Google
E50B;1F1EF_1F1F5 # Softbank
E4CC;1F1EF_1F1F5 # KDDIa
EFA5;1F1EF_1F1F5 # KDDIb
FE4E5;1F1EF_1F1F5 # Google
E514;1F1F0_1F1F7 # Softbank
EB12;1F1F0_1F1F7 # KDDIa
ECD3;1F1F0_1F1F7 # KDDIb
FE4EE;1F1F0_1F1F7 # Google
E512;1F1F7_1F1FA # Softbank
E5D6;1F1F7_1F1FA # KDDIa
EC49;1F1F7_1F1FA # KDDIb
FE4EC;1F1F7_1F1FA # Google
E50C;1F1FA_1F1F8 # Softbank
E573;1F1FA_1F1F8 # KDDIa
F090;1F1FA_1F1F8 # KDDIb
FE4E6;1F1FA_1F1F8 # Google
E203;1F201 # Softbank
FEB24;1F201 # Google
E228;1F202 # Softbank
EA87;1F202 # KDDIa
EC5A;1F202 # KDDIb
FEB3F;1F202 # Google
E216;1F21A # Softbank
FEB3A;1F21A # Google
E22C;1F22F # Softbank
EA8B;1F22F # KDDIa
EC5E;1F22F # KDDIb
FEB40;1F22F # Google
E738;1F232 # Docomo
FEB2E;1F232 # Google
E22B;1F233 # Softbank
EA8A;1F233 # KDDIa
EC5D;1F233 # KDDIb
E739;1F233 # Docomo
FEB2F;1F233 # Google
E73A;1F234 # Docomo
FEB30;1F234 # Google
E22A;1F235 # Softbank
EA89;1F235 # KDDIa
EC5C;1F235 # KDDIb
E73B;1F235 # Docomo
FEB31;1F235 # Google
E215;1F236 # Softbank
FEB39;1F236 # Google
E217;1F237 # Softbank
FEB3B;1F237 # Google
E218;1F238 # Softbank
FEB3C;1F238 # Google
E227;1F239 # Softbank
EA86;1F239 # KDDIa
EC59;1F239 # KDDIb
FEB3E;1F239 # Google
E22D;1F23A # Softbank
EA8C;1F23A # KDDIa
EC5F;1F23A # KDDIb
FEB41;1F23A # Google
E226;1F250 # Softbank
E4F7;1F250 # KDDIa
EFD0;1F250 # KDDIb
FEB3D;1F250 # Google
EB01;1F251 # KDDIa
F0D8;1F251 # KDDIb
FEB50;1F251 # Google
E443;1F300 # Softbank
E469;1F300 # KDDIa
EF41;1F300 # KDDIb
E643;1F300 # Docomo
FE005;1F300 # Google
E598;1F301 # KDDIa
F0B5;1F301 # KDDIb
E644;1F301 # Docomo
FE006;1F301 # Google
E43C;1F302 # Softbank
EAE8;1F302 # KDDIa
ECBC;1F302 # KDDIb
E645;1F302 # Docomo
FE007;1F302 # Google
E44B;1F303 # Softbank
EAF1;1F303 # KDDIa
ECC5;1F303 # KDDIb
E6B3;1F303 # Docomo
FE008;1F303 # Google
E04D;1F304 # Softbank
FE009;1F304 # Google
E449;1F305 # Softbank
EAF4;1F305 # KDDIa
ECC8;1F305 # KDDIb
FE00A;1F305 # Google
E146;1F306 # Softbank
E5DA;1F306 # KDDIa
EC4D;1F306 # KDDIb
FE00B;1F306 # Google
E44A;1F307 # Softbank
FE00C;1F307 # Google
E44C;1F308 # Softbank
EAF2;1F308 # KDDIa
ECC6;1F308 # KDDIb
FE00D;1F308 # Google
E4BF;1F309 # KDDIa
EF98;1F309 # KDDIb
FE010;1F309 # Google
E43E;1F30A # Softbank
EB7C;1F30A # KDDIa
ED81;1F30A # KDDIb
E73F;1F30A # Docomo
FE038;1F30A # Google
EB53;1F30B # KDDIa
ED57;1F30B # KDDIb
FE03A;1F30B # Google
EB5F;1F30C # KDDIa
ED63;1F30C # KDDIb
FE03B;1F30C # Google
E5B3;1F30F # KDDIa
F0D0;1F30F # KDDIb
FE039;1F30F # Google
E5A8;1F311 # KDDIa
F0C5;1F311 # KDDIb
E69C;1F311 # Docomo
FE011;1F311 # Google
E5AA;1F313 # KDDIa
F0C7;1F313 # KDDIb
E69E;1F313 # Docomo
FE013;1F313 # Google
E5A9;1F314 # KDDIa
F0C6;1F314 # KDDIb
E69D;1F314 # Docomo
FE012;1F314 # Google
E6A0;1F315 # Docomo
FE015;1F315 # Google
E04C;1F319 # Softbank
E486;1F319 # KDDIa
EF5E;1F319 # KDDIb
E69F;1F319 # Docomo
FE014;1F319 # Google
E489;1F31B # KDDIa
EF61;1F31B # KDDIb
FE016;1F31B # Google
E335;1F31F # Softbank
FEB69;1F31F # Google
